3057	Xianxia: Steady Cultivation
2546	Arcane Juggernaut - A Portal Apocalypse Litrpg
2705	I Became a Patron God
2104	Lost Divinity [Reincarnation, LitRPG, Death Magic]
1622	Rise of the Rune Carpenter
1502	Emissary of Nothingness [LitRPG | Slow Burn Isekai]
2335	Traitor Hero
1238	Second Summons
1021	The Wizard by the Sea
1095	Feasting on Immortals【Dark Xianxia】
533	Leave Luck to Heaven [LitRPG]
790	I Stole A Dead Goddess's Blessing and Now She Won't Leave Me Alone [litRPG] [Progression] [Fantasy]
1051	Teren Marr, Again
650	Bodyguard to the Future Demon Queen
545	Stillpoint [Timestop Progression LitRPG]
768	The Primordial Vampire of House Vaust
431	I'm The Wizard, Harry
674	Remnant Knight [Hulking Eldritch Knight Lit-Rpg]
681	Voidwalker [LitRPG Cultivation]
5067	Godless Sword [Timeloop LitRPG]
406	The Reborn Author - Practice What You Wrote [Slow Burn Cultivation]
532	Land Grab - A Kingdom Building Progression Fantasy
488	The Art of Mana [Progression Fantasy Transmigration]
1712	Reborn With Infinite Mana - Everyone Thought I Was Weak, Until I Cast A Million Fireballs!
348	Return of the Primordial [Magus]
592	Where Dragons Build [A Dragon-Raising Settlement-Building LitRPG]
269	How to Rent an Apartment After Defeating the Demon King [Comedy Isekai LitRPG / Slice of Life]
349	Isekai'd Too Late: Please Don't Eat the Guinea Pig
1147	The Artificer's Guide to the Apocalypse
422	Diver John: Dying for Views [A Dungeon-Diving LitRPG Apocalypse]
379	Keeper of the Infinite Archive [Comedy LitRPG | Progression Fantasy]
340	Unwritten Destiny [Yuri, Isekai, LitRPG]
527	The Fallen Star from the Fallen World
320	Legacy Code [LitRPG | Multi-World Progression]
444	Wander West, in Shadow
342	The Number Crunching Peasant Saves the World [Grim Dark, Slow Burn]
258	I Want to Be the Heavenly Saber
151	I Wrote Trash Novels to Level Up, Now Everyone Thinks I'm the Hero
509	Reverse Engineered Magic [Title/Trait collecting, battle grinding, post-apoc system apocalypse]
301	The Lost Wizards [Adventure-Fantasy Romance/Harem]
351	UFF: Otome Love (Edited For Re-Release)
398	Stained
432	When Honor Dies, the Blade Remains [A Sengoku LitRPG]
521	Solo Gene Hunter (A genetic progression fantasy/Litrpg)
1984	Peak Elf Performance - Book 1
2738	Max Level Sword Sage
277	Relic Hunter [Rags-to-Riches Treasure Hunter LitRPG]
791	Goblin Foundry [Crafting & Kingdom-Building Fantasy]
2074	Conduits
687	The First Sovereign of Ash [Dragonslayer]
